smiles,BM,SA,SC
*C(C*)c1c(cccc1)C(=O)OCCC,2178905672,3.714071826,2.639670961
*C(C*)c1c(cccc1)C(=O)OC(C)C,2267766459,3.790108434,2.467091064
*C(C*)c1c(cccc1)C(=O)OCCCC,2079673923,3.610968998,2.624295737
*C(C*)c1c(cccc1)C(=O)OCC(C)C,2537130421,3.732460288,2.38677197
*C(C*)c1c(cccc1)C(=O)OCCCCC,2273988657,3.538396651,2.717138642
*C(C*)c1c(cccc1)C(=O)OCCC(C)C,2696146116,3.666626503,3.041385899
*C(C*)c1c(cccc1)C(=O)OCCCCCC,2241249015,3.485172624,2.83888191
*C(C*)c1c(cccc1)C(=O)Oc1ccccc1,2752708669,3.321362271,2.351329457
*C(C*)c1c(cccc1)C(=O)OCCN(C)C,2766297100,3.711714101,3.022018795
*C(C*)c1ccc(cc1)C(=O)OCCN(C)C,2623833157,3.613787885,3.089843411
*C(C*)c1c(cccc1)OC,2324333305,3.922949527,2.400737779
*C(C*)c1c(cccc1)Cl,1966085543,4.163283407,2.294767218
*C(C*)c1c(cccc1)F,1937181930,4.187324946,2.407295058
*C(C*)c1cc(ccc1)C,2448817067,4.1790311,2.822879196
*C(C*)c1cc(ccc1)CC,2115012345,4.076918758,2.866700886
*C(C*)c1cc(ccc1)c1ccc(cc1)c1ccccc1,2937731305,3.04323388,3.140369224
*C(C*)c1cc(ccc1)Cl,1909925845,4.203349561,2.331941777
*C(C*)c1cc(ccc1)F,2145471026,4.224672638,2.29773731
*C(C*)c1ccc(cc1)C,2268176177,4.077169561,2.314815286
*C(C*)c1ccc(cc1)CC,1874018044,3.954191485,2.499433175
*C(C*)c1ccc(cc1)C(C)C,2059387897,3.921450074,2.591048259
*C(C*)c1ccc(cc1)CCCC,2073662249,3.688362355,3.197522049
*C(C*)c1ccc(cc1)C(C)(C)C,2117500964,3.8964427,2.517668305
*C(C*)c1ccc(cc1)C(CC)C,2116421852,4.1713254,2.837898017
*C(C*)c1ccc(cc1)CCCCCC,2190053956,3.508642315,3.338917198
*C(C*)c1ccc(cc1)CCCCCCCC,2201867084,3.391874153,3.338917198
*C(C*)c1ccc(cc1)CCCCCCCCC,2272406928,3.348282784,3.338917198
*C(C*)c1ccc(cc1)CCCCCCCCCC,2454174040,3.312533036,3.338917198
*C(C*)c1ccc(cc1)CCCCCCCCCCCC,2066121238,3.260217637,3.338917198
*C(C*)c1ccc(cc1)CCCCCCCCCCCCCC,2419761740,3.228118484,3.338917198
*C(C*)c1ccc(cc1)CCCCCCCCCCCCCCCC,2509841289,3.211585483,3.338917198
