smiles,qm_homo_monomer,qm_lumo_monomer
*C(C)C(C)*,-11.42399323,2.987095842
*C(C(CC*)C)C,-11.01570858,2.957440393
*C1C(CCC1)CC*,-10.86452736,2.841063534
*C=CCCCCCCCC*,-9.602378359,2.803796391
*C(C*)CCCCCCCCCCCCCCCCCCCC,-10.55482587,2.823679803
*/C=C/CCCCCCCCCC*,-9.590537114,2.718516714
*C(C*)CCCCCCCCCCCCCC,-10.58824262,3.020257475
*C=CCCCCCC*,-9.595784505,2.713776103
*/C=C/CCC*,-9.640251953,2.574957766
*C(C*)C(C)(C)C,-11.01557577,2.792671346
*/C=C\CCCC*,-9.632092669,2.572588205
*C(C*)CCCCCCCCCCCCC,-10.62450895,3.017311513
*C(CC)C(CC)*,-11.02598096,3.024752521
*C(C*)CCCCCCCCCCC,-10.60515312,2.907248281
*C(C*)CCCCCCCCC,-10.57059673,3.001302454
*C(C*)C1CC(CCC1)C,-10.44344491,2.867125032
*C(C*)C1CCC(CC1)C,-10.41815215,3.047159024
*C(C*)C1CC=CCC1,-9.114735549,2.714518166
*C(=CCC*)CCCCCCC,-9.154742222,2.746139626
*C(=CCC*)C(C)C,-9.192557591,2.6094386
*/C=C\CCC*,-9.640354724,2.575032957
*C(C*)CCC(C)(C)C,-10.80350616,2.820297752
*C1C(CC1)*,-10.94967708,3.030805368
*/C=C\*,-10.19807722,2.538656103
*/C=C\CCCCC*,-9.617074413,2.546610894
*C1CC(CC1)C=C*,-9.572901701,2.643829633
*/C=C/C(C*)C(CC)C,-9.623465382,2.561145006
*C(=CCC*)CCC,-9.190043722,2.610210315
*C=CCCCCCCCCCC*,-9.630457511,2.547103419
*C1(CCCCC1)C*,-10.54940644,2.985366773
*C=CC(CCCCC*)C,-9.559206198,2.762307925
*/C(=C\CC*)C(C)(C)C,-9.208658481,2.699215301
*C(C*)c1ccccc1,-9.030834989,1.972408615
*C(C*)c1c(cccc1)C,-8.837273735,2.00271983
*C(C*)c1c(cccc1)CC,-8.795109597,2.01048635
*C(C*)c1c(cccc1)COC,-8.958849918,1.886557021
*C(C*)c1c(cccc1)COCC,-8.938222954,1.890779401
*C(C*)c1c(cccc1)COCCC,-9.033702664,1.715432593
*C(C*)c1c(cccc1)COC(C)C,-8.968224387,1.846783833
*C(C*)c1c(cccc1)COCCCC,-8.930463725,1.839037844
*C(C*)c1c(cccc1)COCCCCC,-9.013614033,1.797101074
