smiles,qm_homo_monomer,qm_lumo_monomer,atom_count
*C(C*)c1ccc(cc1)C(=O)CCCCCCC,-9.2506607,0.621276894,19
*C(C*)c1ccc(cc1)C(=O)Cc1ccccc1,-9.043064069,0.494246221,19
*C(C*)c1ccc(cc1)C(=O)c1ccccc1,-9.214052157,0.282505338,18
*C(C*)c1ccc(cc1)C(=O)c1ccc(cc1)C,-9.12856911,0.352246879,19
*C(C*)c1ccc(cc1)F,-8.968492873,1.631679035,11
*C(C*)c1ccc(cc1)I,-8.695871072,1.304860763,11
*C(C*)c1ccc(cc1)N(C)C,-7.458342441,2.106821887,13
*C(C*)c1ccc(cc1)OC,-8.234078418,1.93010561,12
*C(C*)c1ccc(cc1)OCC,-8.179435081,1.929792758,13
*C(C*)c1ccc(cc1)OCCC,-8.216370002,1.936924945,14
*C(C*)c1ccc(cc1)OCCCC,-8.214111831,1.938027604,15
*C(C*)c1ccc(cc1)OCCC(C)C,-8.229325155,1.924880127,16
*C(C*)c1ccc(cc1)Oc1ccccc1,-8.339648374,1.560611506,17
*C(C*)c1ccc(cc1)c1ccc(cc1)c1ccccc1,-8.135934135,0.813320985,22
*C(C*)c1ccc(cc1)S(=O)(=O)OCCC,-9.828745242,0.681812134,17
*C(C*)c1c(cccc1Cl)Cl,-9.363722503,1.271950236,12
*C(C*)c1c(cc(cc1)C)C,-8.552053123,2.151147298,12
*C(C*)c1c(cc(cc1)C(C)C)C(C)C,-8.624234621,1.987644507,16
*C(C*)c1c(cc(cc1)F)C,-8.79430105,1.807952379,12
*C(C*)c1c(cc(cc1)Cl)C,-8.867893513,1.640404342,12
*C(C*)c1c(cc(cc1)Cl)Cl,-9.215716123,1.223419348,12
*C(C*)c1c(ccc(c1)C)C,-8.581144044,2.022919494,12
*C(C*)c1c(ccc(c1)C(C)(C)C)C,-8.614763148,2.024167602,15
*C(C*)c1c(ccc(c1)C(C)C)C(C)C,-8.608251951,1.992727378,16
*C(C*)c1c(ccc(c1)Cl)Cl,-9.140559558,1.235045848,12
*C(C*)c1c(ccc(c1)F)F,-9.071468064,1.397136781,12
*C(C*)c1c(ccc(c1)C)F,-8.81448496,1.74826216,12
*C(C*)c1c(ccc(c1)Br)OCCCC,-8.350909558,1.6302843,16
*C(C*)c1c(ccc(c1)Br)OCC,-8.357898466,1.634684417,14
*C(C*)c1c(ccc(c1)Br)OC,-8.384991232,1.616542318,13
*C(C*)c1c(ccc(c1)Br)OCCC,-8.354403313,1.628158751,15
*C(C*)c1c(ccc(c1)Br)OC(C)C,-8.312008876,1.636086062,15
*C(C*)c1c(ccc(c1)Br)OCCCCC,-8.348541101,1.630687506,17
*C(C*)c1c(ccc(c1)Br)OCCC(C)C,-8.363090655,1.618884608,17
*C(C*)c1cc(cc(c1)C)C,-8.780485761,2.04589519,12
*C(C*)c1cc(c(cc1)C)C,-8.588705003,2.110263506,12
*C(C*)c1cc(c(cc1)Cl)C,-8.871140723,1.669089993,12
*C(C*)c1cc(c(cc1)Cl)Cl,-9.161668551,1.261570026,12
*C(C*)c1cc(c(cc1)Cl)F,-9.119951218,1.328703327,12
*C(C*)c1c(cc(cc1C)C)C,-8.484125864,2.04441204,13
*C(C*)c1c(cc(c(c1)C)C)C,-8.396490216,2.116508097,13
*C(C*)c1c(c(c(c(c1F)F)F)F)F,-9.655426085,1.224120297,15
*C(C*)(c1ccccc1)C,-9.029720909,1.953701983,11
*C(C*)(c1ccc(cc1)C(C)C)C,-8.729988206,1.935973218,14
