smiles,BM,SA,SC,atom_count
*C(C*)c1c(cccc1)COCc1ccccc1,2603049630.0,3.349117609,2.36734915,19
*C(C*)c1c(cccc1)COCCc1ccccc1,2721888997.0,3.355344331,2.595108535,20
*C(C*)c1c(cccc1)C(=O)NC,2287042964.0,3.929106329,2.79211763,14
*C(C*)c1c(cccc1)C(=O)N(C)C,1689224518.0,3.887618497,2.896475441,15
*C(C*)c1c(cccc1)C(=O)Nc1ccccc1,2296679792.0,3.193131502,2.790596243,19
*C(C*)c1c(cccc1)C(=O)O,3579983504.0,3.948216667,2.192039543,13
*C(C*)c1c(cccc1)C(=O)OC,2150645252.0,3.837295398,2.089870635,14
*C(C*)c1c(cccc1)C(=O)OCC,2049524871.0,3.711398666,2.190311028,15
*C(C*)c1c(cccc1)C(=O)OCCC,2178905672.0,3.714071826,2.639670961,16
*C(C*)c1c(cccc1)C(=O)OC(C)C,2267766459.0,3.790108434,2.467091064,16
*C(C*)c1c(cccc1)C(=O)OCCCC,2079673923.0,3.610968998,2.624295737,17
*C(C*)c1c(cccc1)C(=O)OCC(C)C,2537130421.0,3.732460288,2.38677197,17
*C(C*)c1c(cccc1)C(=O)OCCCCC,2273988657.0,3.538396651,2.717138642,18
*C(C*)c1c(cccc1)C(=O)OCCC(C)C,2696146116.0,3.666626503,3.041385899,18
*C(C*)c1c(cccc1)C(=O)OCCCCCC,2241249015.0,3.485172624,2.83888191,19
*C(C*)c1c(cccc1)C(=O)Oc1ccccc1,2752708669.0,3.321362271,2.351329457,19
*C(C*)c1c(cccc1)C(=O)OCCN(C)C,2766297100.0,3.711714101,3.022018795,18
*C(C*)c1ccc(cc1)C(=O)OCCN(C)C,2623833157.0,3.613787885,3.089843411,18
*C(C*)c1c(cccc1)OC,2324333305.0,3.922949527,2.400737779,12
*C(C*)c1c(cccc1)Cl,1966085543.0,4.163283407,2.294767218,11
*C(C*)c1c(cccc1)F,1937181930.0,4.187324946,2.407295058,11
*C(C*)c1cc(ccc1)C,2448817067.0,4.1790311,2.822879196,11
*C(C*)c1cc(ccc1)CC,2115012345.0,4.076918758,2.866700886,12
*C(C*)c1cc(ccc1)c1ccc(cc1)c1ccccc1,2937731305.0,3.04323388,3.140369224,22
*C(C*)c1cc(ccc1)Cl,1909925845.0,4.203349561,2.331941777,11
*C(C*)c1cc(ccc1)F,2145471026.0,4.224672638,2.29773731,11
*C(C*)c1ccc(cc1)C,2268176177.0,4.077169561,2.314815286,11
*C(C*)c1ccc(cc1)CC,1874018044.0,3.954191485,2.499433175,12
